Index,question,answer
103,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
104,but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
105,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
106,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
107,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
108,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
109,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
110,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
111,so do you think it'll be perfect weather for the beach?,it sounds like it will be.
112,it sounds like it will be.,i really hope it doesn't get cold.
113,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
114,"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
115,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
116,that is true. the weather is constantly changing.,it would be nice if the weather would never change.
117,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
118,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.
119,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
120,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
121,the weather this weekend is supposed to be warm.,will it be good beach weather?
122,will it be good beach weather?,i think it will be.
123,i think it will be.,it wouldn't be good if it got cold this weekend.
124,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
125,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen."
126,"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
127,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
128,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
129,"hello, may i speak to alice please?",this is she. how's it going?
130,this is she. how's it going?,i've been trying to call you all day.
131,i've been trying to call you all day.,sorry about that. i was cleaning up.
132,sorry about that. i was cleaning up.,it's okay.
133,it's okay.,so what were you calling me about?
134,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
135,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
136,"sure, what did you want to do?",maybe we can go see a movie or something.
137,maybe we can go see a movie or something.,that sounds like fun. let's do it.
138,that sounds like fun. let's do it.,i'll see you tomorrow then.
139,i'll see you tomorrow then.,see you then. goodbye.
140,"hi, how are you. is alice there?",speaking. what's up?
141,speaking. what's up?,why haven't you answered the phone?
142,why haven't you answered the phone?,"my bad, i had chores to do."
143,"my bad, i had chores to do.",that's all right.
144,that's all right.,what was the reason for your call?
145,what was the reason for your call?,i want to do something tomorrow with you.
146,i want to do something tomorrow with you.,sounds good. what did you have in mind?
147,sounds good. what did you have in mind?,i was thinking about seeing a movie.
148,i was thinking about seeing a movie.,"okay, let's go see a movie."
149,"okay, let's go see a movie.",until then.
150,until then.,talk to you later.
151,is alice available?,you're talking to her.
152,you're talking to her.,i've called you a hundred times today.
153,i've called you a hundred times today.,i was busy doing something. i apologize.
154,i was busy doing something. i apologize.,no problem.
155,no problem.,did you need something?
156,did you need something?,do you want to do something tomorrow?
157,do you want to do something tomorrow?,is there somewhere special you wanted to go?
158,is there somewhere special you wanted to go?,how about a movie?
159,how about a movie?,a movie sounds good.
160,a movie sounds good.,call me tomorrow then.
161,have you seen the new girl in school?,"no, i haven't."
162,"no, i haven't.",she's really pretty.
163,she's really pretty.,describe her to me.
164,describe her to me.,she's not too tall.
165,she's not too tall.,"well, how tall is she?"
166,"well, how tall is she?",she's about five feet even.
167,she's about five feet even.,"what does she look like, though?"
168,"what does she look like, though?",she has pretty light brown eyes.
169,she has pretty light brown eyes.,i may know which girl you're talking about.
170,i may know which girl you're talking about.,so you have seen her around?
171,so you have seen her around?,"yes, i have."
172,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.
173,i haven't seen her yet.,i think that she is very pretty.
174,i think that she is very pretty.,tell me how she looks.
175,tell me how she looks.,she's kind of short.
176,she's kind of short.,what height is she?
177,what height is she?,she's probably about five feet.
178,she's probably about five feet.,"that's nice, but tell me what she looks like."
179,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
180,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.
181,i think i might've bumped into her before.,are you telling me that you've seen her before?
182,are you telling me that you've seen her before?,i believe so.
183,have you met the new girl?,no. have you?
184,no. have you?,she's one of the prettiest girls at the school.
185,she's one of the prettiest girls at the school.,what does she look like?
186,what does she look like?,"well, she's quite short."
187,"well, she's quite short.",how tall would you say that she is?
188,how tall would you say that she is?,i would say she's only five feet.
189,i would say she's only five feet.,what about her facial features?
190,what about her facial features?,"she has light brown eyes, absolutely beautiful."
191,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
192,i think i know who you're talking about.,have you seen her?
193,why weren't you at school yesterday?,i wasn't really feeling well.
194,i wasn't really feeling well.,what was wrong with you?
195,what was wrong with you?,my stomach was upset.
196,my stomach was upset.,do you feel better now?
197,do you feel better now?,i don't really feel too well yet.
198,i don't really feel too well yet.,do you want anything to make you feel better?
199,do you want anything to make you feel better?,"no, thanks. i already took some medicine."
200,"no, thanks. i already took some medicine.",i hope you feel better.
201,i hope you feel better.,thank you.
202,what reason do you have for missing school?,i was sick.
203,i was sick.,how were you sick?
204,how were you sick?,i had a stomachache.
205,i had a stomachache.,did it get any better?
206,did it get any better?,i'm still feeling under the weather.
207,i'm still feeling under the weather.,would you like anything for your stomach?
208,would you like anything for your stomach?,i took something earlier.
209,i took something earlier.,get better.
210,get better.,thanks a lot.
211,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.
212,i stayed home because i wasn't feeling well.,what was your problem?
213,what was your problem?,my stomach was bothering me.
214,my stomach was bothering me.,are you feeling any better?
215,are you feeling any better?,i'm still feeling a little sick.
216,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
217,"i'm going to the store, would you like any pepto bismol?",that's okay.
218,that's okay.,i hope you feel better.
219,did you hear the good news?,"no, i haven't."
220,"no, i haven't.",i got a promotion at my job.
221,i got a promotion at my job.,did you really?
222,did you really?,"seriously, i am so excited."
223,"seriously, i am so excited.","well, congratulations."
224,"well, congratulations.",thank you.
225,thank you.,i'm so happy for you.
226,i'm so happy for you.,really?
227,really?,yes. you really deserved this.
228,yes. you really deserved this.,you think so?
229,you think so?,yes. good for you.
230,have you heard my good news?,you haven't told me anything yet.
231,you haven't told me anything yet.,i got a promotion at work earlier this week.
232,i got a promotion at work earlier this week.,is that right?
233,is that right?,it's the truth. i am really happy.
234,it's the truth. i am really happy.,congratulations on your promotion.
235,congratulations on your promotion.,thank you very much.
236,thank you very much.,i am really excited for you.
237,i am really excited for you.,are you really?
238,are you really?,i'm serious. you deserved this promotion.
239,i'm serious. you deserved this promotion.,is that what you really think?
240,is that what you really think?,"yes, i do."
241,"i haven't told you what happened yet, have i?",i haven't heard anything.
242,i haven't heard anything.,"my boss offered me a promotion, and i took it."
243,"my boss offered me a promotion, and i took it.",are you serious?
244,are you serious?,"yes, i am really excited."
245,"yes, i am really excited.",that's great. congratulations.
246,that's great. congratulations.,i appreciate that.
247,i appreciate that.,you have no idea how happy i am for you.
248,you have no idea how happy i am for you.,for real?
249,you look really nice today.,thank you. i just got this outfit the other day.
250,thank you. i just got this outfit the other day.,"really, where did you get it?"
251,"really, where did you get it?",i got it from macy's.
252,i got it from macy's.,it's really nice.
253,it's really nice.,"thanks again. you look nice today, too."
254,"thanks again. you look nice today, too.",thank you. i just got these shoes today.
255,thank you. i just got these shoes today.,really? what kind of shoes are they?
256,really? what kind of shoes are they?,these are called all star chuck taylors.
257,these are called all star chuck taylors.,i really like those. how much did they cost?
258,i really like those. how much did they cost?,they were about forty dollars.
259,they were about forty dollars.,i think i'm going to go buy myself a pair.
260,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.
261,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
262,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.
263,i bought it from the macy's at the santa anita mall.,i really like that outfit.
264,i really like that outfit.,"thanks. i think you look nice today, too."
265,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
266,thank you. i just bought these new shoes earlier today.,those are nice. what are they?
267,those are nice. what are they?,these are some chucks.
268,these are some chucks.,those are great. how much were they?
269,those are great. how much were they?,i got them for forty.
270,i got them for forty.,i think i might go and find me my own pair of chucks.
271,i think that you look very cute today.,is that right? this is a brand new outfit.
272,is that right? this is a brand new outfit.,what store did you get it from?
273,what store did you get it from?,i went to macy's and picked it out.
274,i went to macy's and picked it out.,i love your outfit right now.
275,i love your outfit right now.,"well, i think you look nice today too."
276,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
277,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
278,i think that those are some really nice shoes. what kind are they?,these are chucks.
279,these are chucks.,your shoes look really nice. how much did you get them for?
280,your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.
281,"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.
282,i enjoy drawing and painting.,you know how to draw and paint?
283,you know how to draw and paint?,"yes, i do."
284,"yes, i do.",when did you learn how to do that?
285,when did you learn how to do that?,i learned back in high school.
286,i learned back in high school.,"oh, so you took an art class?"
287,"oh, so you took an art class?","yeah, i loved that class."
288,"yeah, i loved that class.",i see that you're pretty talented.
289,i see that you're pretty talented.,thank you very much.
290,thank you very much.,i wish i had a talent like that.
291,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
292,what kinds of things do you like to do?,i've always liked to draw and paint.
293,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
294,i didn't know you knew how to draw and paint.,i do it every once in a while.
295,i do it every once in a while.,how long have you known how to do that?
296,how long have you known how to do that?,i first learned how to do it in high school.
297,i first learned how to do it in high school.,did you take some sort of art class or something?
298,did you take some sort of art class or something?,that was my favorite class.
299,that was my favorite class.,you have got to be talented.
300,you have got to be talented.,thanks.
301,thanks.,if only i was talented.
302,if only i was talented.,you have a talent. you just don't know what it is yet.
303,are there any hobbies you do?,"when i have time, i sometimes draw and paint."
304,"when i have time, i sometimes draw and paint.","oh, you actually do that?"
305,"oh, you actually do that?","every so often, i do."
306,"every so often, i do.",did you always know how to draw and paint?
307,did you always know how to draw and paint?,i was taught in high school how to draw and paint.
308,i was taught in high school how to draw and paint.,you had an art class?
309,you had an art class?,"exactly, it was my favorite class."
310,"exactly, it was my favorite class.","well, it's good that you're so talented."
311,"well, it's good that you're so talented.",i appreciate that.
312,i appreciate that.,"talent is a great thing, i wish i had one."
313,what's your favorite movie?,my favorite movie is superbad.
314,my favorite movie is superbad.,"oh, why is that?"
315,"oh, why is that?",it's the funniest movie that i've ever seen.
316,it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.
317,that's true. it is a very funny movie.,you've seen it before?
318,you've seen it before?,"yes, i saw that movie the first day it came out in theaters."
319,"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.
320,didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.
321,me too. that movie brought tears to my eyes.,mine too.
322,mine too.,i have it on dvd at my house if you want to come over and watch it.
323,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
324,which movie is your favorite to watch?,"i have to say, my favorite movie is superbad."
325,"i have to say, my favorite movie is superbad.",is that right? why?
326,is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time."
327,"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
328,you're right. that movie is hilarious.,i didn't think you saw that movie.
329,i didn't think you saw that movie.,i went to see it the day it came out.
330,i went to see it the day it came out.,i was laughing through the whole movie.
331,i was laughing through the whole movie.,"i couldn't help laughing, either."
332,"i couldn't help laughing, either.",same here.
333,same here.,i bought the movie. would you like to come to my house and watch it?
334,i bought the movie. would you like to come to my house and watch it?,of course.
335,"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.
336,i'm going to have to say that superbad is the best movie ever.,"you think so, how come?"
337,"you think so, how come?","well, superbad is super funny."
338,"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious."
339,"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
340,i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.
341,i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.
342,i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
343,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.
344,that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
345,what type of music do you like to listen to?,i like listening to different kinds of music.
346,i like listening to different kinds of music.,"like what, for instance?"
347,"like what, for instance?",i enjoy rock and r&b.
348,i enjoy rock and r&b.,why is that?
349,why is that?,i like the different instruments that they use.
350,i like the different instruments that they use.,that's a good reason to like something.
351,that's a good reason to like something.,"yeah, i think so too."
352,what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.
353,i enjoy listening to all kinds of music.,what kind?
354,what kind?,i like to listen to rock and r&b.
355,i like to listen to rock and r&b.,why do you like that type of music?
356,why do you like that type of music?,i like the kinds of instruments that they use.
357,i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
358,i think that's an excellent reason to like something.,"thanks, i feel the same way."
359,what is your favorite kind of music?,i listen to various types of music.
360,i listen to various types of music.,what genres?
361,what genres?,i enjoy listening to both rock and r&b.
362,i enjoy listening to both rock and r&b.,what interests you in that type of music?
363,what interests you in that type of music?,i enjoy the different types of instruments that they use.
364,i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.
365,did you go to the basketball game on friday?,"no, i couldn't make it."
366,"no, i couldn't make it.",you missed a really good game.
367,you missed a really good game.,"oh, really? who won?"
368,"oh, really? who won?",our school did. they played really well.
369,our school did. they played really well.,too bad i was busy. i really wanted to go.
370,too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting."
371,"yeah, you should have. it was really exciting.",so what was the score?
372,so what was the score?,the score was 101-98.
373,the score was 101-98.,"man, that was a really close game."
374,"man, that was a really close game.",that's what made it so great.
375,that's what made it so great.,i'll make sure and make it to the next one.
376,were you able to attend friday night's basketball game?,i was unable to make it.
377,i was unable to make it.,you should have been there. it was intense.
378,you should have been there. it was intense.,is that right. who ended up winning?
379,is that right. who ended up winning?,our team was victorious.
380,our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.
381,i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.
382,it was a great game.,what was the score at the end of the game?
383,what was the score at the end of the game?,our team won 101-98.
384,our team won 101-98.,sounds like it was a close game.
385,sounds like it was a close game.,that's the reason it was such a great game.
386,that's the reason it was such a great game.,"the next game, i will definitely be there."
387,i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
388,"i wanted to go, but i couldn't.",it was a great game.
389,it was a great game.,it's too bad that i couldn't make it. who won?
390,it's too bad that i couldn't make it. who won?,our team played hard and won.
391,our team played hard and won.,i really wish i went to the game.
392,i really wish i went to the game.,it was the best game ever.
393,it was the best game ever.,so tell me the final score.
394,so tell me the final score.,"the other team lost by three points, 101-98."
395,"the other team lost by three points, 101-98.",it must've been a close game.
396,it must've been a close game.,it really was. you should've gone.
397,what are you doing this weekend?,i'm going to the movies with a friend. how about you?
398,i'm going to the movies with a friend. how about you?,i'm not sure yet.
399,i'm not sure yet.,"well, did you want to go see a movie with me?"
400,"well, did you want to go see a movie with me?",what movie are you going to see?
401,what movie are you going to see?,i'm not sure yet. is there something you want to see?
402,i'm not sure yet. is there something you want to see?,there's nothing i can think of.
403,there's nothing i can think of.,"so, did you want to go?"
404,"so, did you want to go?","no, thanks, maybe another time."
405,"no, thanks, maybe another time.","okay, sounds good."
406,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?
407,i am going to see a movie with a friend of mine. what about you?,i don't know.
408,i don't know.,would you like to see a movie with me and my friend?
409,would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
410,do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?"
411,"i don't know, but was there a certain movie you wanted to see?",none that i can think of.
412,none that i can think of.,"well, would you like to go?"
413,"well, would you like to go?","thank you for inviting me, but i think i'll pass."
414,"thank you for inviting me, but i think i'll pass.",all right. another time then.
415,you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?
416,i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.
417,i'm not quite sure yet.,how about you see a movie with me and my friend?
418,how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?
419,what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?
420,not sure. is there a movie out that catches your eye?,no good movies come to mind.
421,no good movies come to mind.,have you decided whether or not you would like to go?
422,have you decided whether or not you would like to go?,"no, thanks. maybe another time."
423,did you go to school today?,"yeah, i went to school today. were you there?"
424,"yeah, i went to school today. were you there?","no, i didn't go, i've been sick."
425,"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
426,that sucks. did you want the assignments from english class?,"that would be nice, thank you."
427,"that would be nice, thank you.","no problem, you're welcome."
428,"no problem, you're welcome.",i will be glad to do the same for you when you're sick.
429,i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow."
430,have you attended school today?,i attended school today. did you?
431,i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
432,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?
433,i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks."
434,"i would really appreciate that, thanks.",it's no trouble at all.
435,it's no trouble at all.,"if you get sick, i'll return the favor."
436,"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.
437,have you gone to school today?,i went to school today. did you go to school?
438,i went to school today. did you go to school?,"i couldn't go to school today, i was sick."
439,"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.
440,that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you."
441,"thank you very much, that's kind of you.",don't mention it.
442,don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments."
443,did you hear the news?,what happened?
444,what happened?,our cousin went into labor and had her baby last week.
445,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
446,she did? why didn't anyone tell me?,i would've thought that somebody would have told you.
447,i would've thought that somebody would have told you.,"no, i had no idea."
448,"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces."
449,"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
450,"oh my god, that's great!",are you going to go and visit her and the baby?
451,are you going to go and visit her and the baby?,i think that i might.
452,i think that i might.,good! i just thought i'd let you know.
453,good! i just thought i'd let you know.,thanks for telling me.
454,have you heard what happened?,heard what?
455,heard what?,debrah already had her baby.
456,debrah already had her baby.,i didn't know that.
457,i didn't know that.,i thought you knew.
458,i thought you knew.,i honestly didn't know.
459,i honestly didn't know.,the baby was 8 pounds 6 ounces.
460,the baby was 8 pounds 6 ounces.,that's good to hear.
461,that's good to hear.,will you go and visit them?
462,will you go and visit them?,of course i will.
463,of course i will.,i just wanted to give you the good news.
464,i just wanted to give you the good news.,thanks for letting me know.
465,have you heard the news?,i haven't heard anything.
466,i haven't heard anything.,debrah had her baby last week.
467,debrah had her baby last week.,nobody told me.
468,nobody told me.,i thought you heard.
469,i thought you heard.,i really wasn't told anything.
470,i really wasn't told anything.,she was a cute 8 pounds 6 ounces.
471,she was a cute 8 pounds 6 ounces.,"wow, how exciting."
472,"wow, how exciting.","i know, you should really go and see her and the baby."
473,"i know, you should really go and see her and the baby.",of course i will.
474,of course i will.,i just wanted to let you know what happened.
475,did you go to school today?,of course. did you?
476,of course. did you?,"i didn't want to, so i didn't."
477,"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?"
478,"that's sad, but have you gone to the movies recently?",that's a switch.
479,that's a switch.,"i'm serious, have you?"
480,"i'm serious, have you?","no, i haven't. why?"
481,"no, i haven't. why?",i really want to go to the movies this weekend.
482,i really want to go to the movies this weekend.,so go then.
483,so go then.,i really don't want to go by myself.
484,i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?"
485,"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies."
486,did you make it to school today?,i always do. did you go to school today?
487,i always do. did you go to school today?,"no, i didn't."
488,"no, i didn't.","you should have, but have you seen any movies lately?"
489,"you should have, but have you seen any movies lately?",that was an odd change of subject.
490,that was an odd change of subject.,"maybe it was, but answer the question."
491,"maybe it was, but answer the question.","no, not recently."
492,"no, not recently.",i want to go to see a movie this weekend.
493,i want to go to see a movie this weekend.,what's stopping you then?
494,what's stopping you then?,i don't want to go alone.
495,i don't want to go alone.,"so, will you be at school tomorrow?"
496,"so, will you be at school tomorrow?","no, i want to go to the movies instead."
497,did you even bother to go to school today?,"yeah, i went. did you go?"
498,"yeah, i went. did you go?","no, i didn't feel like it."
499,"no, i didn't feel like it.","that's nice, have you been to the movies lately?"
500,"that's nice, have you been to the movies lately?","no, but that was a random change of subject."
501,"no, but that was a random change of subject.","it may have been random, but have you?"
502,"it may have been random, but have you?",i haven't lately.
503,i haven't lately.,i would love to catch a movie this weekend.
504,i would love to catch a movie this weekend.,"so then, why don't you just go?"
505,"so then, why don't you just go?",i don't want to see a movie by myself.
506,i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?"
507,thanks for coming to see me today.,it's no problem. i was really missing you anyway.
508,it's no problem. i was really missing you anyway.,i missed you too.
509,i missed you too.,why haven't you tried to come see me then?
510,why haven't you tried to come see me then?,i've been really busy.
511,i've been really busy.,doing what?
512,doing what?,working.
513,working.,"i would've come to see you sooner, but i've been busy too."
514,"i would've come to see you sooner, but i've been busy too.",what have you been doing?
515,what have you been doing?,i've been working too.
516,i've been working too.,"well regardless, i'm very happy that you came to see me."
517,"well regardless, i'm very happy that you came to see me.",i am too.
